ID,Razón Social,RUT / CUIT,Operación,Categoría Principal,Total Envíos,Total Camiones,Flete Total USD,Promedio USD/Camión,Último Envío
2785,PROVEEDORA INDUSTRIAL MINERA A,93305000-9,IMPO,Otros,4,4,6800.00,1700.00,2025-09-12
2590,COMERCIAL Y SERVICIOS VERNE SP,76034722-1,IMPO,Otros,4,4,10200.00,2550.00,2025-09-26
2634,COMERCIALIZADORA LLACOLEN S.A.,76079128-8,IMPO,Aceites y grasas,4,4,16734.79,4183.70,2026-01-23
3170,SOC. AGENCIA DE COMPRAS INTERN,—,EXPO,Otros,4,4,2000.00,500.00,2025-12-01
2991,LAFFORT CHILE SPA,—,EXPO,Otros,4,4,5023.91,1255.98,2025-04-04
3177,TRADEPRO CHILE SPA,—,EXPO,Plásticos y polímeros,4,4,4840.00,1210.00,2025-11-24
2521,J RIVEROS S A I C,93113000-5,IMPO,Otros,4,4,4160.00,1040.00,2026-01-19
2968,ORIZON S A,96929960-7,IMPO,Lácteos,4,4,12200.00,3050.00,2025-08-28
2524,OTERO Y DOMINGUEZ LTDA,88855300-2,IMPO,Otros,4,4,2829.99,707.50,2025-12-02
3283,DE VICENTE PLASTICOS S A,—,EXPO,Otros,4,4,7557.33,1889.33,2025-12-04
3190,LABORATORIO PETRIZZIO S.A.,—,EXPO,Farmacia y salud,4,4,8980.01,2245.00,2025-12-24
3191,CODELPA CHILE S.A.,—,EXPO,Pasta y panificados,4,4,10961.01,2740.25,2025-10-21
2732,ESPECIERA DEL SUR LTDA.,96765200-8,IMPO,Otros,4,4,9650.00,2412.50,2026-01-30
3192,EXPORTADORA REINA SUR SPA,—,EXPO,Frutas y verduras,4,4,7330.00,1832.50,2025-04-30
2528,GREIF EMBALAJES INDUSTRIALES S,76650550-3,IMPO,Combustibles y gas,4,4,6260.00,1565.00,2026-01-23
2910,UNION QUIMICA SOCIEDAD POR ACC,76032169-9,IMPO,Otros,4,4,11951.96,2987.99,2026-01-26
2381,DE VICENTE PLASTICOS S A,89689900-7,IMPO,Yerba y infusiones,4,4,8824.40,2206.10,2026-01-09
2966,MAYEKAWA CHILE S.A.C.E.I.,96538860-5,IMPO,Otros,4,4,15150.00,3787.50,2026-01-21
